INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Landable,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AirportBound,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Fighter,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Carryall,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Rotors,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,CustomRotor,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Trailer,Animation,0,+,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SpawnDelay,int,3,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,FlyBy,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,FlyBack,boolean,0,,,,,,,,,,,,,,,
