INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Art(md).ini,Object's Image,MuzzleFlashX,XY,{0;0;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DamageFireOffsetX,XY,{0;0;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Height,int,2,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,OccupyHeight,int,2,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Recoilless,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DoubleThick,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Flat,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SiloDamage,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ChargeAnim,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,IsAnimDelayedFire,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DelayedFireDelay,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ToOverlay,OverlayType,0,+,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Foundation,Foundation,-,,,,,,,,,,,,,,,
Art(md).ini,Object's ID,Foundation,Foundation,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,MidPoint,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DoorStages,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DamagedDoor,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,TerrainPalette,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,GateStages,int,9,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,PrimaryFirePixelOffset,XY,65535,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SecondaryFirePixelOffset,XY,65535,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,PrimaryFireDualOffset,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ExtraDamageStage,boolean,1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SpecialZOverlayZAdjust,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,NormalZAdjust,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ZShapePointMove,XY,{0;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ExtraLight,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,CanHideThings,boolean,1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,AddOccupyX,XY,{-1;-1},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,RemoveOccupyX,XY,{-1;-1},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,QueueingCell,XY,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Buildup,filename.anim,"""""",,,,,,,,,,,,,,,
Art(md).ini,Object's Image,AnimIdle,XYZ,{0;1;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,AnimActive,XYZ,{0;1;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,AnimAux1,XYZ,{0;1;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,AnimAux2,XYZ,{0;1;0},,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnim,filename.anim,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimDamaged,filename.anim,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimGarrisoned,filename.anim,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimX,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimY,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimZAdjust,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimYSort,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimPowered,boolean,1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,ActiveAnimPoweredLight,boolean,0,,,,,,,,,,,,,,,
