INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],FreeMCV,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],WoodCrateImg,OverlayType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],CrateImg,OverlayType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],WaterCrateImg,OverlayType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],HealCrateSound,Sound,-1,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],CrateMinimum,int,1,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],CrateMaximum,int,255,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],CrateRadius,float,640,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],CrateRegen,float,10,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],UnitCrateType,VehicleType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],SoloCrateMoney,int,2000,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],SilverCrate,Powerup,2,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],WoodCrate,Powerup,0,,,,,,,,,,,,,,,
Rules(md).ini,[CrateRules],WaterCrate,Powerup,0,,,,,,,,,,,,,,,
