INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,[General],DamageFireTypes,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],OreTwinkle,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],BarrelExplode,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],BarrelDebris,vector<VoxelAnimation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],BarrelParticle,ParticleSystem,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],NukeTakeOff,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],Wake,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DropPod,vector<Animation>,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DeadBodies,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],MetallicDebris,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],BridgeExplosions,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],IonBlast,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],IonBeam,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WeatherConClouds,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],WeatherConBolts,vector<Animation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],WeatherConBoltExplosion,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorWarhead,WarheadType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorFirstAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorSecondAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorFireAtPercentage,int,50,,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorCaptureRange,int,2,,,,,,,,,,,,,,,
Rules(md).ini,[General],DominatorDamage,int,50,,,,,,,,,,,,,,,
Rules(md).ini,[General],ChronoPlacement,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ChronoBeam,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ChronoBlast,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ChronoBlastDest,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WarpIn,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WarpOut,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WarpAway,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],IronCurtainInvokeAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ForceShieldInvokeAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WeaponNullifyAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ChronoSparkle1,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryExplode,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],FlamingInfantry,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryHeadPop,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryNuked,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryVirus,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryBrute,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],InfantryMutate,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],Behind,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],MoveFlash,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],Parachute,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],BombParachute,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DropZoneAnim,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],EMPulseSparkles,Animation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],LargeVisceroid,VehicleType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],SmallVisceroid,VehicleType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],TiberiumHeal,float,0.0166667,,,,,,,,,,,,,,,
Rules(md).ini,[General],SelfHealInfantryFrames,int,1000,,,,,,,,,,,,,,,
Rules(md).ini,[General],SelfHealInfantryAmount,int,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],SelfHealUnitFrames,int,1000,,,,,,,,,,,,,,,
Rules(md).ini,[General],SelfHealUnitAmount,int,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisitePower,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteFactory,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteBarracks,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteRadar,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteTech,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteProc,generic>,{},,,,,,,,,,,,,,,
Rules(md).ini,[General],ZoomInFactor,float,2,,,,,,,,,,,,,,,
Rules(md).ini,[General],RevealByHeight,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],AllowShroudedSubteranneanMoves,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,[General],AircraftFogReveal,int,6,,,,,,,,,,,,,,,
Rules(md).ini,[General],MinLowPowerProductionSpeed,float,0.5,,,,,,,,,,,,,,,
Rules(md).ini,[General],MaxLowPowerProductionSpeed,float,0.9,,,,,,,,,,,,,,,
Rules(md).ini,[General],LowPowerPenaltyModifier,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],MultipleFactory,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],MaximumCheerRate,int,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],TreeFlammability,float,0.1,,,,,,,,,,,,,,,
Rules(md).ini,[General],MissileROTVar,float,0.25,,,,,,,,,,,,,,,
Rules(md).ini,[General],MissileSafetyAltitude,int,500,,,,,,,,,,,,,,,
Rules(md).ini,[General],MissileSpeedVar,float,0.25,,,,,,,,,,,,,,,
Rules(md).ini,[General],DropPodWeapon,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],DropPodHeight,int,1500,,,,,,,,,,,,,,,
Rules(md).ini,[General],DropPodSpeed,int,40,,,,,,,,,,,,,,,
Rules(md).ini,[General],DropPodAngle,float,1.5708,,,,,,,,,,,,,,,
Rules(md).ini,[General],CrewEscape,float,0.5,,,,,,,,,,,,,,,
Rules(md).ini,[General],TunnelSpeed,float,?,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverDampen,float,0.8,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverBob,float,30,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverHeight,int,120,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverBoost,float,1.3,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverAcceleration,float,0.03,,,,,,,,,,,,,,,
Rules(md).ini,[General],HoverBrake,float,0.03,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranRatio,float,10,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranCombat,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranSpeed,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranSight,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranArmor,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranROF,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],VeteranCap,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],ExplosiveVoxelDebris,vector<VoxelAnimation>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],BridgeVoxelMax,int,3,,,,,,,,,,,,,,,
Rules(md).ini,[General],TireVoxelDebris,VoxelAnimation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ScrapVoxelDebris,VoxelAnimation,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],CloakingStages,int,9,,,,,,,,,,,,,,,
Rules(md).ini,[General],ShipSinkingWeight,float,3,,,,,,,,,,,,,,,
Rules(md).ini,[General],IceCrackingWeight,float,2,,,,,,,,,,,,,,,
Rules(md).ini,[General],IceBreakingWeight,float,4,,,,,,,,,,,,,,,
Rules(md).ini,[General],CliffBackImpassability,int,0,,,,,,,,,,,,,,,
Rules(md).ini,[General],PlacementDelay,float,0.05,,,,,,,,,,,,,,,
Rules(md).ini,[General],TrackedUphill,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],TrackedDownhill,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],WheeledUphill,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],WheeledDownhill,float,1,,,,,,,,,,,,,,,
Rules(md).ini,[General],WindDirection,int,-1,,,,,,,,,,,,,,,
Rules(md).ini,[General],CameraRange,float,?,,,,,,,,,,,,,,,
Rules(md).ini,[General],FlightLevel,int,500,,,,,,,,,,,,,,,
Rules(md).ini,[General],ParachuteMaxFallRate,int,-3,,,,,,,,,,,,,,,
Rules(md).ini,[General],NoParachuteMaxFallRate,int,-100,,,,,,,,,,,,,,,
Rules(md).ini,[General],RepairBay,vector<BuildingType>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],GDIGateOne,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],GDIGateTwo,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],NodGateOne,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],NodGateTwo,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],WallTower,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],Shipyard,vector<BuildingType>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],GDIPowerPlant,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],NodRegularPower,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],NodAdvancedPower,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],ThirdPowerPlant,BuildingType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],PrerequisiteProcAlternate,VehicleType,0,+,,,,,,,,,,,,,,
Rules(md).ini,[General],BaseUnit,vector<VehicleType>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],HarvesterUnit,vector<VehicleType>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],PadAircraft,vector<AircraftType>,{},+,,,,,,,,,,,,,,
Rules(md).ini,[General],Paratrooper,InfantryType,0,+,,,,,,,,,,,,,,
