INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Pip,Pip,,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,OccupyPip,Pip,,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,OccupyWeapon,WeaponType,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,EliteOccupyWeapon,WeaponType,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceComment,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeadBodies,vector<Animation>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeathAnims,vector<Animation>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Cyborg,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,NotHuman,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,EnterWaterSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,LeaveWaterSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Fearless,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Fraidycat,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Infiltrate,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Ivan,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Occupier,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Assaulter,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DetectionDistance,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,HarvestRate,int,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,C4,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Civilian,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Engineer,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,TiberiumProof,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Agent,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Thief,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VehicleThief,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Doggie,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Deployer,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeployedCrushable,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,UseOwnName,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,JumpJetTurn,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Crawls,boolean,1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,FireUp,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,FireProne,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SecondaryFire,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,SecondaryProne,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Sequence,Sequence Name,0,,,,,,,,,,,,,,,
