INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Image,string (31 symbol),Object's ID,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AlphaImage,string (31 symbol),"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CrushSound,Sound (128 symbols),"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AmbientSound,Sound (128 symbols),"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Crushable,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Bombable,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,NoSpawnAlt,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AlternateArcticArt,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,RadarInvisible,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Selectable,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,LegalTarget,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Armor,Armor,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Strength,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Immune,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Insignificant,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,HasRadialIndicator,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,RadialColor,Color,"0,0,0",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IgnoresFirestorm,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,UseLineTrail,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,LineTrailColor,Color,"0,0,0",,,,,,,,,,,,,,,
Art(md).ini,Object's Image,LineTrailColorDecrement,int,16,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Theater,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,NewTheater,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Voxel,boolean,0,,,,,,,,,,,,,,,
