INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,LandTargeting,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,NavalTargeting,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SpeedType,SpeedType,0,,,,,,,,,,,,,,,
Art(md).ini,Object's ID,CanBeHidden,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,TypeImmune,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,WalkRate,float,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,MoveRate,float,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,MoveToShroud,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsTrain,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DoubleOwned,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,GuardRange,float->int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Explodes,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeathWeapon,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeathWeaponDamageModifier,float,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,FlightLevel,int,-1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsDropship,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,PitchAngle,float,0.349066,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,RollAngle,float,0.523599,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,PitchSpeed,float,0.25,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Locomotor,CLSID,Teleport,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CloakingSpeed,int,7,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,ThreatAvoidanceCoefficient,float,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SlowdownDistance,int,500,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeaccelerationFactor,float,0.002,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AccelerationFactor,float,0.03,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Weight,float,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,PhysicalSize,float,2,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Size,float,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SizeLimit,float,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,HoverAttack,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VHPScan,VHPScan,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,MaxDebris,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,MinDebris,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DebrisTypes,vector<VoxelAnimation>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DebrisMaximums,vector<int>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DebrisAnims,vector<Animation>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,HasTurretTooltips,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,TurretCount,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,WeaponCount,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsChargeTurret,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,ClearAllWeapons,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Primary,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Secondary,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,ElitePrimary,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,EliteSecondary,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,WeaponX,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,EliteWeaponX,WeaponType,0,+,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceMove,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceSelect,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceSelectEnslaved,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceSelectDeactivated,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceAttack,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceSpecialAttack,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceDie,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceFeedback,vector<Sound>,{},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AuxSound1,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AuxSound2,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CreateSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DamageSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,ImpactWaterSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,ImpactLandSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CrashingSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SinkingSound,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceFalling,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceCrashing,Sound,"""""",,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,VoiceSinking,Sound,"""""",,,,,,,,,,,,,,,
