INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsVeinhole,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,WaterBound,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SpawnsTiberium,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsFlammable,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Foundation,Foundation,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,RadarColor,Color,{0;0;0},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsAnimated,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AnimationRate,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AnimationProbability,float,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,TemperateOccupationBits,int,7,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SnowOccupationBits,int,7,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,YDrawFudge,int,0,,,,,,,,,,,,,,,
