INI File,Section,Key,Value Type,Default Value,Adds to list,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CrateGoodie,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,DeployToFire,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsSimpleDeployer,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Harvester,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Weeder,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SpeedType,SpeedType,?,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,IsTilter,boolean,1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CarriesCrate,boolean,?,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,TooBigToFitUnderBridge,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,HalfDamageSmokeLocation,XYZ,{0;0;0},,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,UseTurretShadow,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,WalkFrames,int,12,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,FiringFrames,int,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,Passive,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,MovementRestrictedTo,LandType,-1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,CanBeach,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,SmallVisceroid,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,LargeVisceroid,boolean,0,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,NonVehicle,boolean,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,StandingFrames,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DeathFrames,int,0,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,DeathFrameRate,int,1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,Facings,int,8,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,StartStandFrame,int,-1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,StartWalkFrame,int,-1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,StartFiringFrame,int,-1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,StartDeathFrame,int,-1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,MaxDeathCounter,int,-1,,,,,,,,,,,,,,,
Art(md).ini,Object's Image,FiringSyncFrameX,int,-1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,BurstDelayX,int,-1,,,,,,,,,,,,,,,
Rules(md).ini,Object's ID,AltImage,filename.shp,0,,,,,,,,,,,,,,,
